App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-struts;ActionChainingTest;C:\Users\crist\.jnose_projects\test-smells-struts\apps\showcase\src\test\java\it\org\apache\struts2\showcase\ActionChainingTest.java;;41;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-struts;ActionTagExampleTest;C:\Users\crist\.jnose_projects\test-smells-struts\apps\showcase\src\test\java\it\org\apache\struts2\showcase\ActionTagExampleTest.java;;39;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-struts;AsyncTest;C:\Users\crist\.jnose_projects\test-smells-struts\apps\showcase\src\test\java\it\org\apache\struts2\showcase\AsyncTest.java;;52;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-struts;ComponentTagExampleTest;C:\Users\crist\.jnose_projects\test-smells-struts\apps\showcase\src\test\java\it\org\apache\struts2\showcase\ComponentTagExampleTest.java;;43;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-struts;ConversionTest;C:\Users\crist\.jnose_projects\test-smells-struts\apps\showcase\src\test\java\it\org\apache\struts2\showcase\ConversionTest.java;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\main\java\com\opensymphony\xwork2\conversion\annotations\Conversion.java;101;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-struts;CRUDTest;C:\Users\crist\.jnose_projects\test-smells-struts\apps\showcase\src\test\java\it\org\apache\struts2\showcase\CRUDTest.java;;53;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-struts;ExecAndWaitTest;C:\Users\crist\.jnose_projects\test-smells-struts\apps\showcase\src\test\java\it\org\apache\struts2\showcase\ExecAndWaitTest.java;;54;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-struts;FileDownloadTest;C:\Users\crist\.jnose_projects\test-smells-struts\apps\showcase\src\test\java\it\org\apache\struts2\showcase\FileDownloadTest.java;;69;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
test-smells-struts;FreeMarkerManagerTest;C:\Users\crist\.jnose_projects\test-smells-struts\apps\showcase\src\test\java\it\org\apache\struts2\showcase\FreeMarkerManagerTest.java;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\main\java\org\apache\struts2\views\freemarker\FreemarkerManager.java;59;2;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0
test-smells-struts;StaticContentTest;C:\Users\crist\.jnose_projects\test-smells-struts\apps\showcase\src\test\java\it\org\apache\struts2\showcase\StaticContentTest.java;;58;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
test-smells-struts;UITagExampleTest;C:\Users\crist\.jnose_projects\test-smells-struts\apps\showcase\src\test\java\it\org\apache\struts2\showcase\UITagExampleTest.java;C:\Users\crist\.jnose_projects\test-smells-struts\apps\showcase\src\main\java\org\apache\struts2\showcase\UITagExample.java;75;1;11;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
test-smells-struts;ValidationTest;C:\Users\crist\.jnose_projects\test-smells-struts\apps\showcase\src\test\java\it\org\apache\struts2\showcase\ValidationTest.java;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\main\java\com\opensymphony\xwork2\validator\annotations\Validation.java;63;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-struts;FileDownloadActionTest;C:\Users\crist\.jnose_projects\test-smells-struts\apps\showcase\src\test\java\org\apache\struts2\showcase\filedownload\FileDownloadActionTest.java;C:\Users\crist\.jnose_projects\test-smells-struts\apps\showcase\src\main\java\org\apache\struts2\showcase\filedownload\FileDownloadAction.java;60;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-struts;TestNGXWorkTestCase;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\main\java\com\opensymphony\xwork2\TestNGXWorkTestCase.java;;65;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-struts;XWorkJUnit4TestCase;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\main\java\com\opensymphony\xwork2\XWorkJUnit4TestCase.java;;86;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-struts;XWorkTestCase;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\main\java\com\opensymphony\xwork2\XWorkTestCase.java;;100;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-struts;ActionContextThreadLocalTest;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\test\java\com\opensymphony\xwork2\ActionContextThreadLocalTest.java;;45;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-struts;NamespaceActionNameTestActionProxyFactory;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\test\java\com\opensymphony\xwork2\ChainResultTest.java;;179;11;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;3;0;0;0
test-smells-struts;AllowedMethodsTest;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\test\java\com\opensymphony\xwork2\config\entities\AllowedMethodsTest.java;C:\Users\crist\.jnose_projects\test-smells-struts\plugins\convention\src\main\java\org\apache\struts2\convention\annotation\AllowedMethods.java;120;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-struts;NamespaceMatcherTest;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\test\java\com\opensymphony\xwork2\config\impl\NamespaceMatcherTest.java;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\main\java\com\opensymphony\xwork2\config\impl\NamespaceMatcher.java;44;1;5;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-struts;EnvsValueSubstitutorTest;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\test\java\com\opensymphony\xwork2\config\providers\EnvsValueSubstitutorTest.java;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\main\java\com\opensymphony\xwork2\config\providers\EnvsValueSubstitutor.java;67;7;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-struts;XmlConfigurationProviderMultilevelTest;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\test\java\com\opensymphony\xwork2\config\providers\XmlConfigurationProviderMultilevelTest.java;;73;1;9;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-struts;InstantiatingNullHandlerTest;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\test\java\com\opensymphony\xwork2\conversion\impl\InstantiatingNullHandlerTest.java;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\main\java\com\opensymphony\xwork2\conversion\impl\InstantiatingNullHandler.java;57;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-struts;DefaultActionProxyTest;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\test\java\com\opensymphony\xwork2\DefaultActionProxyTest.java;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\main\java\com\opensymphony\xwork2\DefaultActionProxy.java;42;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-struts;DefaultUnknownHandlerManagerTest;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\test\java\com\opensymphony\xwork2\DefaultUnknownHandlerManagerTest.java;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\main\java\com\opensymphony\xwork2\DefaultUnknownHandlerManager.java;83;5;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-struts;TestScopeStrategy;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\test\java\com\opensymphony\xwork2\inject\ContainerImplTest.java;;354;6;12;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;4;0;0;0
test-smells-struts;AnnotationParameterFilterInterceptorTest;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\test\java\com\opensymphony\xwork2\interceptor\annotations\AnnotationParameterFilterInterceptorTest.java;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\main\java\com\opensymphony\xwork2\interceptor\annotations\AnnotationParameterFilterInterceptor.java;204;6;8;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0;1
test-smells-struts;SampleAction;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\test\java\com\opensymphony\xwork2\interceptor\ParameterRemoverInterceptorTest.java;;131;1;8;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-struts;ValidateAction;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\test\java\com\opensymphony\xwork2\interceptor\ParametersInterceptorTest.java;;881;18;50;0;1;0;0;0;0;18;0;0;0;0;0;6;0;0;0;0;0;0;0
test-smells-struts;Action1;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\test\java\com\opensymphony\xwork2\interceptor\PrefixMethodInvocationUtilTest.java;;268;8;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-struts;ActionInterface;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\test\java\com\opensymphony\xwork2\interceptor\PrepareInterceptorTest.java;;212;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0
test-smells-struts;ValidateErrorAction;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\test\java\com\opensymphony\xwork2\interceptor\ValidationErrorAwareTest.java;;120;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-struts;StaticTester;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\test\java\com\opensymphony\xwork2\ognl\SecurityMemberAccessTest.java;;652;10;3;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;1;0;0;0;0
test-smells-struts;TestInterceptor;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\test\java\com\opensymphony\xwork2\TestInterceptor.java;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\main\java\com\opensymphony\xwork2\interceptor\Interceptor.java;89;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-struts;RunTest;C:\Users\crist\.jnose_projects\test-smells-struts\core\src\test\java\com\opensymphony\xwork2\TestNGXWorkTestCaseTest.java;;56;3;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0
